state_name,state_code,county_name,population,total_votes,turnout,college_educated,_merge
Florida,FL,Bay County,190769.0,97775.0,0.5125308619324943,37539,both
Florida,FL,Bradford County,27858.0,13932.0,0.5001076889941848,3202,both
Florida,FL,Brevard County,643979.0,361449.0,0.5612745136099159,160671,both
Florida,FL,Broward County,1962531.0,874526.0,0.44561130499339885,517023,both
Florida,FL,Calhoun County,13470.0,6428.0,0.47720861172976986,1345,both
Florida,FL,Charlotte County,206134.0,123674.0,0.599968952234954,41638,both
Florida,FL,Citrus County,166696.0,98233.0,0.5892942842059797,26292,both
Florida,FL,Clay County,232439.0,126806.0,0.5455452828484032,45787,both
Florida,FL,Collier County,404310.0,216363.0,0.5351413519329228,121144,both
Florida,FL,Columbia County,73063.0,33592.0,0.45976759782653326,8166,both
Florida,FL,DeSoto County,35979.0,12488.0,0.347091358848217,2993,both
Florida,FL,Dixie County,17465.0,8148.0,0.46653306613226453,1059,both
Florida,FL,Duval County,1030822.0,471268.0,0.45717689377991544,237893,both
Florida,FL,Escambia County,326928.0,162754.0,0.49782826799784663,68361,both
Florida,FL,Flagler County,131439.0,79963.0,0.6083658579264906,29304,both
Florida,FL,Franklin County,12594.0,6758.0,0.5366047324122598,2528,both
Florida,FL,Gadsden County,43833.0,21868.0,0.49889352770743506,6363,both
Florida,FL,Gilchrist County,19587.0,10686.0,0.5455659365905958,1919,both
Florida,FL,Glades County,12786.0,5279.0,0.41287345534178005,1315,both
Florida,FL,Gulf County,15693.0,8697.0,0.5541961384056586,2866,both
Florida,FL,Hamilton County,13471.0,5733.0,0.4255808774404276,1099,both
Florida,FL,Hardee County,25760.0,8143.0,0.316110248447205,2184,both
Florida,FL,Hendry County,43333.0,13460.0,0.31061777398287677,3139,both
Florida,FL,Hernando County,212807.0,110687.0,0.5201285671993873,31673,both
Florida,FL,Highlands County,107614.0,51905.0,0.4823257197018975,16218,both
Florida,FL,Hillsborough County,1535564.0,671981.0,0.4376118481548148,400057,both
Florida,FL,Holmes County,19944.0,9116.0,0.4570798235058163,1721,both
Florida,FL,Indian River County,169795.0,99015.0,0.5831443799876321,44403,both
Florida,FL,Jackson County,48622.0,22098.0,0.4544856237916992,5281,both
Florida,FL,Jefferson County,15450.0,8502.0,0.5502912621359223,2150,both
Florida,FL,Lafayette County,8078.0,3756.0,0.4649665758851201,584,both
Florida,FL,Lake County,424462.0,226781.0,0.5342786869024789,81709,both
Florida,FL,Lee County,834573.0,392519.0,0.4703231472860972,188809,both
Florida,FL,Leon County,296913.0,156800.0,0.5281008241471408,95431,both
