state_name,state_code,county_name,college_educated
Illinois,IL,Grundy County,8869
Illinois,IL,Hamilton County,1058
Illinois,IL,Hancock County,3111
Illinois,IL,Hardin County,363
Illinois,IL,Henderson County,958
Illinois,IL,Henry County,8832
Illinois,IL,Iroquois County,3249
Illinois,IL,Jackson County,13417
Illinois,IL,Jasper County,1414
Illinois,IL,Jefferson County,4853
Illinois,IL,Jersey County,3288
Illinois,IL,Jo Daviess County,4909
Illinois,IL,Johnson County,1861
Illinois,IL,Kane County,135090
Illinois,IL,Kankakee County,15263
Illinois,IL,Kendall County,33273
Illinois,IL,Knox County,7216
Illinois,IL,Lake County,231463
Illinois,IL,LaSalle County,15219
Illinois,IL,Lawrence County,1642
Illinois,IL,Lee County,5033
Illinois,IL,Livingston County,4789
Illinois,IL,Logan County,4199
Illinois,IL,McDonough County,5916
Illinois,IL,McHenry County,79334
Illinois,IL,McLean County,52852
Illinois,IL,Macon County,17849
Illinois,IL,Macoupin County,6458
Illinois,IL,Madison County,59298
Illinois,IL,Marion County,4578
Illinois,IL,Marshall County,1628
Illinois,IL,Mason County,1653
Illinois,IL,Massac County,1655
Illinois,IL,Menard County,2404
Illinois,IL,Mercer County,2127
Illinois,IL,Monroe County,9724
Illinois,IL,Montgomery County,3891
Illinois,IL,Morgan County,5646
Illinois,IL,Moultrie County,1886
Illinois,IL,Ogle County,8847
Illinois,IL,Peoria County,44255
Illinois,IL,Perry County,1902
Illinois,IL,Piatt County,3945
Illinois,IL,Pike County,1999
Illinois,IL,Pope County,485
Illinois,IL,Pulaski County,458
Illinois,IL,Putnam County,1041
Illinois,IL,Randolph County,3287
Illinois,IL,Richland County,2069
Illinois,IL,Rock Island County,24785
Illinois,IL,St. Clair County,55788
Illinois,IL,Saline County,3480
Illinois,IL,Sangamon County,50404
Illinois,IL,Schuyler County,1011
Illinois,IL,Scott County,788
Illinois,IL,Shelby County,2784
Illinois,IL,Stark County,739
Illinois,IL,Stephenson County,7031
Illinois,IL,Tazewell County,26827
Illinois,IL,Union County,2585
Illinois,IL,Vermilion County,8325
Illinois,IL,Wabash County,1578
Illinois,IL,Warren County,2502
Illinois,IL,Washington County,2451
Illinois,IL,Wayne County,1898
Illinois,IL,White County,1582
Illinois,IL,Whiteside County,8026
Illinois,IL,Will County,178782
Illinois,IL,Williamson County,13623
Illinois,IL,Winnebago County,49829
Illinois,IL,Woodford County,9773
Indiana,IN,Adams County,3806
Indiana,IN,Allen County,83449
Indiana,IN,Bartholomew County,20927
Indiana,IN,Benton County,1126
Indiana,IN,Blackford County,1152
Indiana,IN,Boone County,25474
Indiana,IN,Brown County,3135
Indiana,IN,Carroll County,2324
Indiana,IN,Cass County,4190
Indiana,IN,Clark County,22550
Indiana,IN,Clay County,3344
Indiana,IN,Clinton County,3684
Indiana,IN,Crawford County,931
Indiana,IN,Daviess County,3318
Indiana,IN,Dearborn County,9780
Indiana,IN,Decatur County,3868
Indiana,IN,DeKalb County,6142
Indiana,IN,Delaware County,19816
Indiana,IN,Dubois County,7512
Indiana,IN,Elkhart County,27476
Indiana,IN,Fayette County,2809
Indiana,IN,Floyd County,18127
Indiana,IN,Fountain County,1695
Indiana,IN,Franklin County,3313
Indiana,IN,Fulton County,2323
Indiana,IN,Gibson County,4477
Indiana,IN,Grant County,9547
Indiana,IN,Greene County,3350
Indiana,IN,Hamilton County,153346
Indiana,IN,Hancock County,20251
Indiana,IN,Harrison County,6474
Indiana,IN,Hendricks County,49553
Indiana,IN,Henry County,6207
Indiana,IN,Howard County,12223
Indiana,IN,Huntington County,6308
Indiana,IN,Jackson County,6585
Indiana,IN,Jasper County,4366
Indiana,IN,Jay County,1797
Indiana,IN,Jefferson County,4475
Indiana,IN,Jennings County,2678
Indiana,IN,Johnson County,38508
Indiana,IN,Knox County,4466
Indiana,IN,Kosciusko County,13895
Indiana,IN,LaGrange County,2750
Indiana,IN,Lake County,88579
Indiana,IN,LaPorte County,18012
Indiana,IN,Lawrence County,6795
Indiana,IN,Madison County,19162
Indiana,IN,Marion County,231908
Indiana,IN,Marshall County,6546
Indiana,IN,Martin County,945
Indiana,IN,Miami County,4204
Indiana,IN,Monroe County,45962
Indiana,IN,Montgomery County,5195
Indiana,IN,Morgan County,11265
Indiana,IN,Newton County,1376
Indiana,IN,Noble County,5905
Indiana,IN,Ohio County,854
Indiana,IN,Orange County,2218
Indiana,IN,Owen County,2737
Indiana,IN,Parke County,1685
Indiana,IN,Perry County,2375
Indiana,IN,Pike County,1449
Indiana,IN,Porter County,38057
Indiana,IN,Posey County,4749
Indiana,IN,Pulaski County,1219
Indiana,IN,Putnam County,5258
Indiana,IN,Randolph County,2522
Indiana,IN,Ripley County,4000
Indiana,IN,Rush County,2056
Indiana,IN,St. Joseph County,61722
Indiana,IN,Scott County,2251
Indiana,IN,Shelby County,6541
Indiana,IN,Spencer County,3133
Indiana,IN,Starke County,2127
Indiana,IN,Steuben County,6312
Indiana,IN,Sullivan County,2401
Indiana,IN,Switzerland County,747
Indiana,IN,Tippecanoe County,47883
Indiana,IN,Tipton County,2846
Indiana,IN,Union County,1063
Indiana,IN,Vanderburgh County,34947
Indiana,IN,Vermillion County,1929
Indiana,IN,Vigo County,18978
Indiana,IN,Wabash County,4707
Indiana,IN,Warren County,1078
Indiana,IN,Warrick County,16557
Indiana,IN,Washington County,2799
Indiana,IN,Wayne County,9621
Indiana,IN,Wells County,3713
